Marcaj de timp,În acest moment aveți calitatea de :,Vârsta : ,Câte tranzacții online ați efectuat în perioada (feb-aprilie 2021) ?,În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Posibilitatea de a realiza comparații],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Accesibilitatea 24/24],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Oportunitatea de a plăti un preț mai mic],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Acces la o gamă mai largă de produse],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Abilitatea de a împărtăși experiențe pe rețelele de socializare],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Experiența personală],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Review-urile de pe site],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Opiniile celor apropiați],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Informația care ți-o oferă motoarele de căutare],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Brand-ul ],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Ușurința utilizării website-ului],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Politica de return],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Diversitatea gamei de produse],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Posibilitatea de a urmări comanda],În ce masură obișnuiți sa vă documentați înainte de a plasa o comandă online? ,Ce categorie de produse cumpărați cel mai mult online? ,Cât de frecvent efectuați achiziții online pe lună?,În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Timpul de livrare nu a fost respectat],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Produsul a ajuns cu defecte],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Costuri mari cu livrarea],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Calitate inferioară],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Returnarea produsului a fost dificilă],Ce ați făcut atunci când ați întâlnit o problemă cu produsul achiziționat online?,"În urma experiențelor dvs.  privind achizițiile online, care considerați ca a fost cea mai bună? De ce?",Dar cea mai puțin bună? De ce?,Numărul mediu pe care îl petreceți online (înafara cursurilor online).,Nivelul de studii  absolvit :,Genul :
2021/04/27 4:48:48 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,3,3,3,4,3,3,4,1,4,3,4,1,3,5,5,Electronice,de 2-3 ori pe lună,2,3,1,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Cea mai buna a fost cea de la Pc Garage. Produsele au ajuns repede in ciuda faptului ca nu erau in stoc la momentul respectiv.,Achizitionarea unui produs de Black-Friday de la emag. Produsul a ajuns deteriorat si nu l am putut returna.,Mai mult de 3 ore,Studii universitare,Masculin
2021/04/27 4:49:13 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:51:57 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,5,5,5,4,3,3,5,4,5,5,4,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,2,2,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 4:52:38 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:55:27 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:56:06 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:56:07 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,5,5,2,1,5,4,5,3,3,1,1,3,3,3,Accesorii / produse de îngrijire personală,de 2-3 ori pe săptămână,1,1,3,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Cand comanda vine foarte repede,Cand taxa de trasport a fost foarte mare,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 5:06:28 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:09:25 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:09:56 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,5,5,5,5,5,5,4,3,4,3,4,4,5,Haine și încăltăminte,de 2-3 ori pe lună,3,2,2,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Cea in care am comandat o periuță de dinți electrica care mi-a schimbat viața in mod pozitiv. ,"Am comandat inainte de Crăciun mai multe lucruri de pe un site, timpul in care trebuia sa ajunga comanda era pana in 20 decembrie, dar comanda a ajuns in ianuarie. ",Între 2-3 ore,Studii liceale,Feminin
2021/04/27 5:11:08 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,3,5,1,3,3,3,4,4,3,3,3,3,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,3,2,2,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Cea mai buna experienta de shopping online este, in general, cea care nu vine cu surprize. Stii exact cat este timpul de livrare, ca totul vine ambalat corespunzator si ca esti la curent cu statusul comenzii. ","La polul opus, experientele mai putin placute constau in intarzierea livrarilor, a restituirii sumei in cont si a deteriorarii produselor din diferite cauze. ",Între 2-3 ore,Studii post-universitare,Feminin
2021/04/27 5:11:23 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,1,5,3,3,3,5,5,2,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,2,1,2,2,1,Nu am luat nicio acțiune.,Majoritatea,-,Între 2-3 ore,Studii universitare,Feminin
2021/04/27 5:14:51 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:15:31 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,4,5,4,3,1,5,2,2,3,5,4,3,5,5,4,Accesorii / produse de îngrijire personală,o dată pe lună,1,3,3,4,1,Nu am luat nicio acțiune.,Cea mai bună achiziție online a fost a produselor de make up pentru că a fost livrată a doua zi și prețul minim pentru o livrare gratuită este comod ,"Cea mai puțin bună a fost de pe site precum amazon, ebay pentru ca perioada de livrare a fost mare și nici nu merita efortul sa faci retur ",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 5:17:07 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,1,3,3,5,3,4,2,4,1,2,3,1,5,3,3,Mâncare,de 2-3 ori pe lună,2,1,3,3,5,Nu am luat nicio acțiune.,Cea mai buna experienta a fost atunci cand am comandat mancare si mi s-a adus un produs supriza/extra gratis la ce am comandat.,Atunci cand mancarea a fost rece si necalitativa.,Între 2-3 ore,Studii liceale,Feminin
2021/04/27 5:18:43 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,2,5,1,1,3,3,2,3,1,2,1,2,1,Haine și încăltăminte,de 2-3 ori pe lună,1,3,2,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,. ,. ,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 5:20:43 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:25:25 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,4,4,4,2,4,4,4,4,2,4,2,4,4,3,Accesorii / produse de îngrijire personală,o dată pe lună,1,1,1,1,2,Nu am luat nicio acțiune.,"Produse de ingrijire, deoarece în momentul în care știi ce nevoi ai știi și ce sa cumperi. Nu ai cum sa dai greșit ca nu s-ar potrivi, ca la haine spre exemplu.","Hainele. Uneori nu se potrivește mărimea, culoarea e diferita, materialul nu e pe gustul meu.",Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 5:25:37 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:26:31 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:27:05 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:29:14 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:33:10 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,5,5,3,5,5,5,4,3,3,2,5,5,5,5,Haine și încăltăminte,o dată pe lună,2,1,1,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Achiziționarea hainelor,deoarece au ajuns în stare impecabila ","Accesorii, deoarece au ajuns deteriorate ",Între 2-3 ore,Studii liceale,Feminin
2021/04/27 5:36:20 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,3,3,2,1,5,4,4,4,2,5,5,2,4,4,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,4,2,5,5,5,L-am returnat,"Îmi pare puțin cam vagă întrebarea. Dar o achiziție online buna este când are livrare gratuita, se livrează rapid, produsul este bun, iar politica de retur este și ea rapida atât ca preluare de acasă cât și ca restituirea banilor.","Calitatea produselor este mult inferioara, mărimile nu corespund (același model și marime dar fizic total diferite), livrare scumpă desi comanda e valoroasă, returul face mai mult decât produsul in sine, curierii nu aduc produsul la ușă, pretind reduceri, care sunt de fapt false.",Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/27 5:41:23 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,5,5,5,1,3,2,1,5,5,5,4,5,5,4,Accesorii / produse de îngrijire personală,o dată pe lună,1,2,3,1,1,Am povestit persoanelor apropiate despre experiența negativă.,Mi-a plăcut extraordinar de mult când am comandat cărți și au ajuns extrem de repede.,Atunci când am comandat un produs și a ajuns spart. ,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 5:48:06 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,4,4,4,5,4,4,4,5,4,4,4,4,5,Accesorii / produse de îngrijire personală,o dată pe lună,2,2,3,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Achizitia de produse de ingrijire personala, deoarece online sunt mult mai ieftine decat in magazine/farmacii.","Achizitia unor pijamale, deoarece am primit o alta marime decat cea comandata.",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 5:48:20 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,3,5,2,5,1,5,4,5,2,3,4,5,5,5,4,Haine și încăltăminte,de 2-3 ori pe lună,3,1,3,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Între 2-3 ore,Studii universitare,Feminin
2021/04/27 5:49:01 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:49:44 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,3,5,5,5,3,5,4,4,1,1,5,5,5,5,1,Cărți și reviste,de 2-3 ori pe lună,1,1,1,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Pana acum toate experiențele au fost bune, conform așteptărilor mele.",Nu am avut încă experiențe neplăcute cu achizițiile online.,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 5:53:06 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:56:14 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 5:56:30 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,3,5,5,3,5,4,5,4,3,4,3,4,4,4,Mâncare,de 2-3 ori pe lună,3,4,5,3,2,Am comunicat cu vanzătorul online pentru a remedia situația., , ,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 6:01:04 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:07:22 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,3,5,5,2,5,3,3,2,5,3,1,3,2,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,2,2,4,1,Nu am luat nicio acțiune.,Cea testata. Cand am cumparat produse de ingrijire personala pe care le-am testat in trecut,Cand am comandat ceva noi,Mai puțin de 2 ore,Studii liceale,Feminin
2021/04/27 6:08:28 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,5,3,3,2,5,4,4,4,4,5,5,5,3,4,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,1,3,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Produse skincar de pe farmaciatei, chiar daca odata au incurcat ceva in comanda, dupa un email au schimbat imediat produsul. Preturi foarte bune si seriozitate maxima. ","Libraria Delfin. A durat aproape o luna sa ajunga comanda, au incurcat ceva, si dupa nenumerate emailuri si convorbiri telefonice am reusit sa primesc cartiile, care erau deja platite...",Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 6:17:07 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:17:24 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:17:32 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:21:14 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,5,5,5,5,4,4,5,4,4,5,4,5,5,2,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,3,2,4,2,5,Am comunicat cu vanzătorul online pentru a remedia situația.,Un rimel/calitate preț,Măști pentru față,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 6:21:59 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,4,4,4,1,5,3,4,4,3,5,3,4,1,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,4,2,4,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,- ,-,Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/27 6:22:49 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:28:38 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:37:49 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,5,5,4,2,3,4,3,4,5,3,4,5,4,Haine și încăltăminte,o dată pe lună,5,3,4,3,2,Nu am luat nicio acțiune.,În cumpărarea hainelor ,Cumpărarea lucrurilor fragile-> ruperea\spargerea lor,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 6:42:26 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:46:46 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,Mâncare,de 2-3 ori pe săptămână,2,1,2,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,A ajuns la timp,Nu am avut,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 6:49:56 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:52:52 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 6:56:35 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,1,5,3,3,1,5,4,4,5,3,5,"Skincare, mancare, diverse",de 2-3 ori pe lună,3,2,5,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,.,.,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 6:59:23 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,3,3,3,3,4,4,4,3,4,4,5,5,5,5,Haine și încăltăminte,o dată pe săptămână,2,1,3,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Hainele, deoarece am avut o gama variata și am putut sa îmi selectez exact ceea ce voiam","Încălțămintea, niciodata nu îmi gasesc mărimea potrivita",Mai puțin de 2 ore,Studii liceale,Feminin
2021/04/27 6:59:49 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:00:28 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:01:13 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:09:00 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:10:56 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:12:06 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Haine și încăltăminte,de 2-3 ori pe săptămână,2,2,2,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,H&m,Nu a fost.,Mai mult de 3 ore,Studii post-universitare,Feminin
